year,circuit
2016,Circuit de Spa-Francorchamps
2016,Suzuka Circuit
2016,Circuit Gilles Villeneuve
2016,Yas Marina Circuit
2017,Albert Park Grand Prix Circuit
2017,Circuit of the Americas
2017,Bahrain International Circuit
2017,Baku City Circuit
2017,Circuit de Barcelona-Catalunya
2017,Hungaroring
2017,Autódromo José Carlos Pace
2017,Marina Bay Street Circuit
2017,Circuit de Monaco
2017,Autodromo Nazionale di Monza
2017,Red Bull Ring
2017,Autódromo Hermanos Rodríguez
2017,Sepang International Circuit
2017,Shanghai International Circuit
2017,Silverstone Circuit
2017,Sochi Autodrom
2017,Circuit de Spa-Francorchamps
2017,Suzuka Circuit
2017,Circuit Gilles Villeneuve
2017,Yas Marina Circuit
2018,Albert Park Grand Prix Circuit
2018,Circuit of the Americas
2018,Bahrain International Circuit
2018,Baku City Circuit
2018,Circuit de Barcelona-Catalunya
2018,Hockenheimring
2018,Hungaroring
2018,Autódromo José Carlos Pace
2018,Marina Bay Street Circuit
2018,Circuit de Monaco
2018,Autodromo Nazionale di Monza
2018,Red Bull Ring
2018,Circuit Paul Ricard
2018,Autódromo Hermanos Rodríguez
2018,Shanghai International Circuit
2018,Silverstone Circuit
2018,Sochi Autodrom
2018,Circuit de Spa-Francorchamps
2018,Suzuka Circuit
2018,Circuit Gilles Villeneuve
2018,Yas Marina Circuit
2019,Albert Park Grand Prix Circuit
2019,Circuit of the Americas
2019,Bahrain International Circuit
2019,Baku City Circuit
2019,Circuit de Barcelona-Catalunya
2019,Hockenheimring
2019,Hungaroring
2019,Autódromo José Carlos Pace
2019,Marina Bay Street Circuit
2019,Circuit de Monaco
2019,Autodromo Nazionale di Monza
2019,Red Bull Ring
2019,Circuit Paul Ricard
2019,Autódromo Hermanos Rodríguez
2019,Shanghai International Circuit
2019,Silverstone Circuit
2019,Sochi Autodrom
2019,Circuit de Spa-Francorchamps
2019,Suzuka Circuit
2019,Circuit Gilles Villeneuve
2019,Yas Marina Circuit
2020,Bahrain International Circuit
2020,Circuit de Barcelona-Catalunya
2020,Hungaroring
2020,Autodromo Enzo e Dino Ferrari
2020,Istanbul Park
2020,Autodromo Nazionale di Monza
2020,Autodromo Internazionale del Mugello
2020,Nürburgring
2020,Autódromo Internacional do Algarve
2020,Red Bull Ring
2020,Silverstone Circuit
2020,Sochi Autodrom
2020,Circuit de Spa-Francorchamps
2020,Yas Marina Circuit
2021,Circuit of the Americas
2021,Bahrain International Circuit
2021,Baku City Circuit
2021,Circuit de Barcelona-Catalunya
2021,Hungaroring
2021,Autodromo Enzo e Dino Ferrari
2021,Autódromo José Carlos Pace
2021,Istanbul Park
2021,Jeddah Street Circuit
2021,Losail International Circuit
2021,Circuit de Monaco
2021,Autodromo Nazionale di Monza
2021,Autódromo Internacional do Algarve
2021,Red Bull Ring
2021,Circuit Paul Ricard
2021,Autódromo Hermanos Rodríguez
2021,Silverstone Circuit
2021,Sochi Autodrom
2021,Circuit de Spa-Francorchamps
2021,Yas Marina Circuit
2021,Circuit Park Zandvoort
